index,return
147,0.00000000
148,0.00000000
149,0.00000000
150,0.00000000
151,0.00000000
152,0.00096872
153,-0.00413883
154,-0.00616167
155,-0.00326638
156,-0.00329795
157,0.00048167
158,0.00127686
159,-0.00544586
160,0.00000000
161,0.00000000
162,0.00000000
163,0.00000000
164,0.00000000
165,0.00000000
166,0.00000000
167,0.00000000
168,0.00000000
169,0.00000000
170,0.00000000
171,0.00000000
172,0.00000000
173,0.00000000
174,0.00000000
175,0.00000000
176,0.00000000
177,0.00000000
178,0.00000000
179,0.00000000
180,-0.00258545
181,-0.00076921
182,-0.00048508
183,-0.00154036
184,0.00160614
185,-0.00310163
186,0.00000000
187,0.00000000
188,0.00000000
189,0.00000000
190,0.00000000
191,0.00000000
192,0.00000000
193,0.00000000
194,0.00000000
195,0.00000000
196,0.00000000
197,0.00000000
198,0.00000000
199,0.00000000
200,0.00000000
201,0.00000000
202,0.00000000
203,0.00000000
204,0.00083602
205,-0.00693637
206,-0.00044720
207,-0.00634880
208,0.00065395
209,-0.00220696
210,-0.00074086
211,0.00000000
212,0.00000000
213,0.00000000
214,0.00000000
215,0.00000000
216,0.00000000
217,0.00000000
218,0.00000000
219,0.00000000
220,0.00000000
221,0.00000000
222,0.00184815
223,0.00237028
224,-0.00077039
225,-0.00582522
226,0.00286505
227,0.00268503
228,0.00338478
229,-0.00036296
230,0.00493374
231,-0.00533458
232,0.00049145
233,0.00407915
234,0.00627466
235,0.00245194
236,-0.00864514
237,-0.00138252
238,-0.00560164
239,-0.00154217
240,-0.00052558
241,0.00000000
242,0.00000000
243,0.00000000
244,0.00000000
245,0.00000000
246,0.00000000
247,0.00000000
248,0.00000000
249,0.00000000
250,0.00000000
251,0.00000000
252,-0.00332682
253,0.00000000
254,0.00000000
255,0.00000000
256,0.00000000
257,0.00000000
258,0.00000000
259,0.00000000
260,0.00000000
261,0.00000000
262,0.00000000
263,0.00000000
264,0.00000000
265,0.00000000
266,0.00000000
267,0.00000000
268,0.00000000
269,0.00000000
270,0.00000000
271,0.00000000
272,0.00000000
273,0.00000000
274,0.00000000
275,0.00000000
276,0.00000000
277,0.00000000
278,0.00000000
279,-0.00213197
280,0.00000000
281,0.00000000
282,0.00000000
283,0.00000000
284,0.00000000
285,0.00000000
286,0.00000000
287,0.00000000
288,0.00000000
289,0.00000000
290,0.00075534
291,-0.00095963
292,0.00000000
293,0.00000000
294,0.00000000
295,0.00000000
296,0.00000000
297,0.00000000
298,0.00000000
299,0.00000000
300,0.00000000
301,0.00000000
302,0.00000000
303,0.00000000
304,0.00000000
305,0.00000000
306,0.00000000
307,-0.00387459
308,0.00000000
309,0.00000000
310,0.00000000
311,0.00000000
312,0.00000000
313,0.00000000
314,0.00000000
315,0.00000000
316,0.00000000
317,0.00000000
318,0.00000000
319,0.00000000
320,0.00000000
321,0.00000000
322,0.00000000
323,0.00000000
324,0.00000000
325,-0.00132183
326,-0.00247358
327,-0.00118548
328,-0.00063155
329,0.00000000
330,0.00000000
331,0.00000000
332,0.00000000
333,0.00000000
334,0.00000000
335,0.00000000
336,0.00000000
337,0.00000000
338,0.00000000
339,0.00000000
340,0.00000000
341,0.00000000
342,0.00000000
343,0.00000000
344,0.00000000
345,0.00000000
346,0.00000000
347,0.00000000
348,0.00000000
349,0.00000000
350,0.00000000
351,0.00000000
352,0.00000000
353,0.00066464
354,0.00287456
355,0.00004343
356,0.00175880
357,-0.00132221
358,0.00282155
359,0.00175309
360,-0.00434266
361,0.00115007
362,0.00065024
363,0.00034657
364,-0.00294481
365,0.00623276
366,-0.00612941
367,-0.00190011
368,0.00043514
369,0.00010874
370,0.00000000
371,0.00000000
372,0.00000000
373,0.00000000
374,0.00000000
375,0.00000000
376,0.00000000
377,0.00000000
378,0.00000000
379,0.00000000
380,0.00000000
381,0.00000000
382,0.00000000
383,0.00000000
384,0.00000000
385,0.00000000
386,0.00000000
387,0.00000000
388,0.00000000
389,0.00000000
390,0.00000000
391,-0.00304431
392,0.00000000
393,0.00000000
394,0.00010906
395,0.00078513
396,-0.00078451
397,-0.00335860
398,0.00258214
399,-0.00656969
400,0.00000000
401,0.00000000
402,0.00000000
403,0.00000000
404,0.00000000
405,0.00000000
406,0.00000000
407,0.00000000
408,-0.00161483
409,0.00000000
410,-0.00127635
411,0.00273224
412,-0.00028566
413,-0.00094516
414,-0.00319018
415,0.00000000
416,0.00000000
417,0.00000000
418,0.00000000
419,0.00000000
420,0.00000000
421,0.00000000
422,0.00000000
423,0.00000000
424,0.00000000
425,0.00000000
426,0.00000000
427,0.00000000
428,0.00000000
429,0.00000000
430,0.00000000
431,0.00000000
432,0.00000000
433,0.00000000
434,0.00000000
435,0.00000000
436,0.00000000
437,0.00000000
438,0.00000000
439,0.00000000
440,0.00000000
441,0.00000000
442,0.00000000
443,0.00000000
444,0.00000000
445,0.00000000
446,0.00000000
447,0.00000000
448,0.00000000
449,0.00101530
450,-0.00136705
451,0.00143516
452,0.00302055
453,-0.00006594
454,-0.00222027
455,0.00085924
456,-0.00521705
457,-0.00055321
458,-0.00460523
459,0.00225766
460,0.00048824
461,0.00000000
462,0.00000000
463,0.00000000
464,0.00000000
465,0.00000000
466,0.00000000
467,0.00000000
468,0.00000000
469,-0.00039928
470,-0.00034396
471,0.00000000
472,0.00000000
473,0.00000000
474,0.00000000
475,0.00000000
476,0.00000000
477,0.00000000
478,0.00000000
479,0.00000000
480,0.00000000
481,0.00000000
482,0.00000000
483,0.00000000
484,0.00000000
485,0.00000000
486,0.00000000
487,0.00000000
488,0.00000000
489,0.00000000
490,0.00000000
491,0.00000000
492,0.00000000
493,0.00024418
494,0.00077676
495,-0.00179625
496,-0.00106636
497,0.00053375
498,0.00160039
499,0.00450500
